Line Item ID,Chk#,Item Description,Sales Category,Regular Price,Qty,Line Total,Comp,Void,Fire Time
li_000001,chk_00001,Ranch Water,beverage,12,1,12,0,0,2026-02-09T17:57:00.000Z
li_000002,chk_00001,Hot Dog,food,9,1,9,0,0,2026-02-09T18:00:00.000Z
li_000003,chk_00002,Grilled Chicken,food,19,1,19,0,0,2026-01-27T19:28:00.000Z
li_000004,chk_00002,Whiskey Sour,beverage,14,2,28,0,0,2026-01-27T19:31:00.000Z
li_000005,chk_00002,Chardonnay Glass,beverage,14,2,28,0,0,2026-01-27T19:34:00.000Z
li_000006,chk_00003,Pulled Pork Sliders,food,17,1,17,0,0,2026-03-08T13:38:00.000Z
li_000007,chk_00003,Filet Mignon,food,52,1,52,0,0,2026-03-08T13:41:00.000Z
li_000008,chk_00003,Charcuterie Board,food,24,1,24,0,0,2026-03-08T13:44:00.000Z
li_000009,chk_00003,Lobster Tail,food,48,1,48,0,0,2026-03-08T13:47:00.000Z
li_000010,chk_00003,Michelob Ultra,beverage,7,2,14,0,0,2026-03-08T13:50:00.000Z
li_000011,chk_00003,Charcuterie Board,food,24,1,24,0,0,2026-03-08T13:53:00.000Z
li_000012,chk_00004,Garden Salad,food,12,1,12,0,0,2026-02-22T15:09:00.000Z
li_000013,chk_00005,Coors Light Draft,beverage,7,1,7,0,0,2026-01-10T08:19:00.000Z
li_000014,chk_00005,Wedge Salad,food,14,1,14,0,0,2026-01-10T08:22:00.000Z
li_000015,chk_00006,Sparkling Water,beverage,4,2,8,0,0,2025-12-27T11:50:00.000Z
li_000016,chk_00006,Corona,beverage,8,2,16,0,0,2025-12-27T11:53:00.000Z
li_000017,chk_00006,Whiskey Sour,beverage,14,2,28,0,0,2025-12-27T11:56:00.000Z
li_000018,chk_00006,Cappuccino,beverage,6,2,12,0,0,2025-12-27T11:59:00.000Z
li_000019,chk_00006,Cabernet Glass,beverage,16,1,16,0,0,2025-12-27T12:02:00.000Z
li_000020,chk_00007,Caprese Salad,food,15,1,15,0,0,2026-02-05T19:00:00.000Z
li_000021,chk_00007,Pulled Pork Sliders,food,17,1,17,0,0,2026-02-05T19:03:00.000Z
li_000022,chk_00007,Cabernet Glass,beverage,16,1,16,0,0,2026-02-05T19:06:00.000Z
li_000023,chk_00007,French Onion Soup,food,12,1,12,0,0,2026-02-05T19:09:00.000Z
li_000024,chk_00007,Old Fashioned,beverage,15,2,30,0,0,2026-02-05T19:12:00.000Z
li_000025,chk_00007,Cabernet Glass,beverage,16,2,32,0,0,2026-02-05T19:15:00.000Z
li_000026,chk_00008,Garden Salad,food,12,1,12,0,0,2026-01-10T08:19:00.000Z
li_000027,chk_00008,NY Strip Steak,food,45,1,45,0,0,2026-01-10T08:22:00.000Z
li_000028,chk_00008,Arnold Palmer,beverage,5,1,5,0,0,2026-01-10T08:25:00.000Z
li_000029,chk_00008,Sparkling Water,beverage,4,2,8,0,0,2026-01-10T08:28:00.000Z
li_000030,chk_00009,Ranch Water,beverage,12,1,12,0,0,2025-12-27T11:50:00.000Z
li_000031,chk_00009,Gin and Tonic,beverage,12,1,12,0,0,2025-12-27T11:53:00.000Z
li_000032,chk_00009,Old Fashioned,beverage,15,1,15,0,0,2025-12-27T11:56:00.000Z
li_000033,chk_00009,Shrimp Scampi,food,28,1,28,0,0,2025-12-27T11:59:00.000Z
li_000034,chk_00009,Tuna Tartare,food,22,1,22,0,0,2025-12-27T12:02:00.000Z
li_000035,chk_00010,Mushroom Risotto,food,26,1,26,0,0,2026-02-05T19:00:00.000Z
li_000036,chk_00010,Wedge Salad,food,14,1,14,0,0,2026-02-05T19:03:00.000Z
li_000037,chk_00011,Michelob Ultra,beverage,7,2,14,0,0,2026-01-23T20:31:00.000Z
li_000038,chk_00011,Gin and Tonic,beverage,12,2,24,0,0,2026-01-23T20:34:00.000Z
li_000039,chk_00011,Bloody Mary,beverage,14,1,14,0,0,2026-01-23T20:37:00.000Z
li_000040,chk_00012,Caprese Salad,food,15,1,15,0,0,2026-03-03T13:41:00.000Z
li_000041,chk_00012,Caprese Salad,food,15,1,15,0,0,2026-03-03T13:44:00.000Z
li_000042,chk_00012,Pinot Noir Glass,beverage,15,1,15,0,0,2026-03-03T13:47:00.000Z
li_000043,chk_00012,Pinot Noir Glass,beverage,15,1,15,0,0,2026-03-03T13:50:00.000Z
li_000044,chk_00012,Shrimp Scampi,food,28,1,28,0,1,2026-03-03T13:53:00.000Z
li_000045,chk_00012,Loaded Nachos,food,17,1,17,0,0,2026-03-03T13:56:00.000Z
li_000046,chk_00013,Cappuccino,beverage,6,2,12,0,0,2026-02-18T16:12:00.000Z
li_000047,chk_00014,Chicken Parmigiana,food,24,1,24,0,0,2026-03-03T14:41:00.000Z
li_000048,chk_00014,Grilled Chicken,food,19,1,19,0,0,2026-03-03T14:44:00.000Z
li_000049,chk_00014,Braised Short Ribs,food,34,1,34,0,0,2026-03-03T14:47:00.000Z
li_000050,chk_00014,Loaded Nachos,food,17,1,17,0,0,2026-03-03T14:50:00.000Z
li_000051,chk_00014,Corona,beverage,8,2,16,0,0,2026-03-03T14:53:00.000Z
li_000052,chk_00014,BLT Wrap,food,16,1,16,0,0,2026-03-03T14:56:00.000Z
li_000053,chk_00015,Garden Salad,food,12,1,12,0,0,2026-01-18T16:13:00.000Z
li_000054,chk_00016,Michelob Ultra,beverage,7,1,7,0,0,2026-01-05T09:22:00.000Z
li_000055,chk_00016,Cheese Pizza,food,16,1,16,0,0,2026-01-05T09:25:00.000Z
li_000056,chk_00016,Michelob Ultra,beverage,7,2,14,0,0,2026-01-05T09:28:00.000Z
li_000057,chk_00016,Cabernet Glass,beverage,16,2,32,0,0,2026-01-05T09:31:00.000Z
li_000058,chk_00016,Wedge Salad,food,14,1,14,0,0,2026-01-05T09:34:00.000Z
li_000059,chk_00017,Mimosa,beverage,12,2,24,0,0,2026-02-14T11:54:00.000Z
li_000060,chk_00017,NY Strip Steak,food,45,1,45,0,0,2026-02-14T11:57:00.000Z
li_000061,chk_00017,Wings Basket,food,16,1,16,0,0,2026-02-14T12:00:00.000Z
li_000062,chk_00017,Pulled Pork Sliders,food,17,1,17,0,1,2026-02-14T12:03:00.000Z
li_000063,chk_00017,Craft IPA Draft,beverage,9,1,9,0,0,2026-02-14T12:06:00.000Z
li_000064,chk_00017,Loaded Nachos,food,17,1,17,1,0,2026-02-14T12:09:00.000Z
li_000065,chk_00018,Pulled Pork Sliders,food,17,1,17,0,0,2026-01-31T19:03:00.000Z
