Payment ID,Chk#,Settlement Method,Amount,Settlement Time,Split
pay_000001,chk_00001,cash,59.46,2026-02-09 19:11:00,1
pay_000002,chk_00002,member_charge,87.73,2026-01-27 20:52:00,0
pay_000003,chk_00003,credit_card,196.37,2026-03-08 14:33:00,0
pay_000004,chk_00004,cash,27.61,2026-02-22 16:13:00,0
pay_000005,chk_00005,member_charge,62.64,2026-01-10 08:54:00,0
pay_000006,chk_00006,credit_card,168.23,2025-12-27 12:35:00,0
pay_000007,chk_00007,cash,202.73,2026-02-05 20:17:00,0
pay_000008,chk_00008,member_charge,139.64,2026-01-10 08:55:00,0
pay_000009,chk_00009,credit_card,152.92,2025-12-27 12:58:00,0
pay_000010,chk_00010,cash,71.4,2026-02-05 20:17:00,0
pay_000011,chk_00011,member_charge,109.47,2026-01-23 21:58:00,0
pay_000012,chk_00012,credit_card,206.25,2026-03-03 14:39:00,0
pay_000013,chk_00013,cash,38.85,2026-02-18 17:20:00,0
pay_000014,chk_00014,credit_card,207.48,2026-03-03 15:39:00,0
pay_000015,chk_00015,cash,40.15,2026-01-18 16:42:00,0
pay_000016,chk_00016,member_charge,152.54,2026-01-05 10:01:00,1
pay_000017,chk_00017,credit_card,179.63,2026-02-14 13:05:00,0
pay_000018,chk_00018,cash,82.88,2026-01-31 20:24:00,0
pay_000019,chk_00019,credit_card,121.49,2025-12-19 08:27:00,0
pay_000020,chk_00020,credit_card,219.12,2026-02-27 15:45:00,0
pay_000021,chk_00021,member_charge,50.9,2026-01-14 16:48:00,0
pay_000022,chk_00022,member_charge,158.63,2026-01-01 11:07:00,0
pay_000023,chk_00023,member_charge,82.88,2026-01-31 20:46:00,0
pay_000024,chk_00024,credit_card,121.49,2025-12-19 13:27:00,0
pay_000025,chk_00025,cash,220.37,2026-02-26 15:07:00,0
pay_000026,chk_00026,member_charge,52.2,2026-01-14 08:48:00,0
pay_000027,chk_00027,credit_card,157.63,2026-01-01 11:29:00,0
pay_000028,chk_00028,cash,191.02,2026-02-09 19:11:00,0
pay_000029,chk_00029,member_charge,86.09,2026-01-27 20:52:00,0
pay_000030,chk_00030,credit_card,123.5,2026-03-07 14:33:00,0
pay_000031,chk_00031,credit_card,143.88,2025-12-31 11:29:00,0
pay_000032,chk_00032,cash,60.72,2026-02-09 19:11:00,0
pay_000033,chk_00033,member_charge,79.05,2026-01-27 20:52:00,0
pay_000034,chk_00034,credit_card,196.37,2026-03-07 14:33:00,0
pay_000035,chk_00035,cash,28.49,2026-02-22 16:15:00,0
pay_000036,chk_00036,member_charge,140.94,2026-01-09 08:55:00,0
pay_000037,chk_00037,cash,29.79,2026-01-22 16:37:00,0
pay_000038,chk_00038,member_charge,140.94,2026-01-09 08:55:00,0
pay_000039,chk_00039,credit_card,154.17,2026-02-18 12:59:00,0
pay_000040,chk_00040,cash,72.68,2026-02-04 20:18:00,1
pay_000041,chk_00041,member_charge,110.81,2025-12-23 21:21:00,0
pay_000042,chk_00042,credit_card,207.48,2026-03-03 15:39:00,0
pay_000043,chk_00043,cash,40.15,2026-02-17 16:42:00,0
pay_000044,chk_00044,member_charge,153.86,2026-01-05 10:01:00,0
pay_000045,chk_00045,credit_card,180.9,2025-12-23 13:05:00,0
pay_000046,chk_00046,cash,82.88,2026-01-31 20:24:00,0
pay_000047,chk_00047,member_charge,110.81,2025-12-23 12:21:00,0
pay_000048,chk_00048,cash,208.72,2026-03-02 15:01:00,0
pay_000049,chk_00049,cash,41.44,2026-01-18 07:42:00,0
pay_000050,chk_00050,credit_card,153.86,2026-01-05 10:23:00,0
pay_000051,chk_00051,credit_card,180.9,2026-02-13 19:05:00,0
pay_000052,chk_00052,member_charge,84.81,2026-01-31 20:46:00,1
pay_000053,chk_00053,credit_card,122.82,2025-12-18 13:27:00,0
pay_000054,chk_00054,credit_card,220.37,2026-02-26 15:47:00,0
pay_000055,chk_00055,cash,50.6,2026-02-13 19:05:00,0
pay_000056,chk_00056,member_charge,87.45,2026-01-31 20:47:00,0
pay_000057,chk_00057,credit_card,201.59,2025-12-18 13:27:00,0
pay_000058,chk_00058,cash,227.45,2026-02-26 15:09:00,0
pay_000059,chk_00059,member_charge,130.5,2026-01-13 08:49:00,0
pay_000060,chk_00060,credit_card,150.13,2025-12-31 11:30:00,0
pay_000061,chk_00061,cash,60.72,2026-02-09 19:11:00,0
pay_000062,chk_00062,member_charge,130.5,2026-01-13 08:49:00,0
pay_000063,chk_00063,credit_card,145.13,2026-02-22 11:53:00,0
pay_000064,chk_00064,cash,61.99,2026-02-09 19:12:00,0
pay_000065,chk_00065,member_charge,80.38,2026-01-26 21:15:00,0
pay_000066,chk_00066,credit_card,197.6,2026-03-07 14:33:00,0
pay_000067,chk_00067,cash,29.79,2026-02-21 16:37:00,0
pay_000068,chk_00068,member_charge,142.25,2026-01-09 08:55:00,0
pay_000069,chk_00069,credit_card,155.43,2025-12-27 12:59:00,0
pay_000070,chk_00070,cash,72.68,2026-02-04 20:18:00,0
pay_000071,chk_00071,member_charge,110.81,2026-01-22 22:00:00,0
pay_000072,chk_00072,cash,197.6,2026-03-07 14:55:00,0
pay_000073,chk_00073,cash,31.08,2026-01-22 21:37:00,0
pay_000074,chk_00074,credit_card,142.25,2026-01-09 09:17:00,0
pay_000075,chk_00075,credit_card,155.43,2026-02-17 17:59:00,0
pay_000076,chk_00076,cash,73.95,2026-02-04 20:19:00,1
pay_000077,chk_00077,member_charge,112.14,2025-12-22 21:21:00,0
