Registration ID,Event Number,Client Code,Status,Guest Count,Fee Paid,Registration Date,Check-In Time
reg_0001,evt_001,mbr_001,attended,3,27,2026-02-07 00:00:00,2026-02-15 10:00:00
reg_0002,evt_006,mbr_001,attended,3,19,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0003,evt_007,mbr_001,attended,3,31,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0004,evt_012,mbr_001,attended,3,23,2026-01-26 00:00:00,2026-02-02 10:00:00
reg_0005,evt_013,mbr_001,registered,0,35,2026-01-06 00:00:00,
reg_0006,evt_015,mbr_001,attended,2,11,2026-01-27 00:00:00,2026-02-01 10:00:00
reg_0007,evt_003,mbr_002,attended,3,23,2026-02-25 00:00:00,2026-03-04 10:00:00
reg_0008,evt_004,mbr_002,registered,0,35,2026-01-07 00:00:00,
reg_0009,evt_006,mbr_002,attended,2,11,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0010,evt_009,mbr_002,attended,3,27,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0011,evt_012,mbr_002,attended,3,15,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0012,evt_015,mbr_002,attended,3,31,2026-01-24 00:00:00,2026-02-01 10:00:00
reg_0013,evt_003,mbr_003,attended,3,15,2026-02-21 00:00:00,2026-03-04 10:00:00
reg_0014,evt_006,mbr_003,attended,3,31,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0015,evt_009,mbr_003,attended,3,19,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0016,evt_012,mbr_003,registered,0,35,2026-01-24 00:00:00,
reg_0017,evt_014,mbr_003,attended,2,11,2026-02-14 00:00:00,2026-02-19 10:00:00
reg_0018,evt_015,mbr_003,attended,3,23,2026-01-25 00:00:00,2026-02-01 10:00:00
reg_0019,evt_003,mbr_004,registered,0,35,2026-02-23 00:00:00,
reg_0020,evt_005,mbr_004,attended,2,11,2025-12-25 00:00:00,2025-12-30 10:00:00
reg_0021,evt_006,mbr_004,attended,1,24,2026-01-21 00:00:00,2026-02-02 10:00:00
reg_0022,evt_011,mbr_004,attended,3,15,2026-02-13 00:00:00,2026-02-19 10:00:00
reg_0023,evt_012,mbr_004,attended,3,28,2026-01-25 00:00:00,2026-02-02 10:00:00
reg_0024,evt_002,mbr_005,attended,3,16,2025-12-24 00:00:00,2025-12-30 10:00:00
reg_0025,evt_005,mbr_005,attended,3,31,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0026,evt_008,mbr_005,attended,3,20,2025-12-23 00:00:00,2025-12-29 10:00:00
reg_0027,evt_009,mbr_005,attended,1,59,2026-01-19 00:00:00,2026-02-02 10:00:00
reg_0028,evt_014,mbr_005,attended,3,24,2026-02-12 00:00:00,2026-02-19 10:00:00
reg_0029,evt_015,mbr_005,registered,0,36,2026-01-18 00:00:00,
reg_0030,evt_002,mbr_006,registered,0,36,2025-12-21 00:00:00,
reg_0031,evt_004,mbr_006,attended,2,12,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0032,evt_005,mbr_006,attended,3,24,2025-12-23 00:00:00,2025-12-30 10:00:00
reg_0033,evt_010,mbr_006,attended,3,16,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0034,evt_011,mbr_006,attended,3,28,2026-02-11 00:00:00,2026-02-19 10:00:00
reg_0035,evt_014,mbr_006,attended,0,44,2026-02-08 00:00:00,2026-02-19 10:00:00
reg_0036,evt_001,mbr_007,attended,3,16,2026-02-09 00:00:00,2026-02-15 10:00:00
reg_0037,evt_002,mbr_007,attended,3,28,2025-12-22 00:00:00,2025-12-30 10:00:00
reg_0038,evt_007,mbr_007,attended,3,20,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0039,evt_008,mbr_007,registered,3,32,2025-12-20 00:00:00,
reg_0040,evt_013,mbr_007,attended,3,24,2026-01-08 00:00:00,2026-01-15 10:00:00
reg_0041,evt_014,mbr_007,registered,0,36,2026-02-10 00:00:00,
reg_0042,evt_004,mbr_008,attended,3,24,2026-01-09 00:00:00,2026-01-16 10:00:00
reg_0043,evt_005,mbr_008,registered,0,36,2025-12-21 00:00:00,
reg_0044,evt_007,mbr_008,attended,2,12,2026-01-11 00:00:00,2026-01-16 10:00:00
reg_0045,evt_010,mbr_008,attended,3,28,2026-01-08 00:00:00,2026-01-16 10:00:00
reg_0046,evt_013,mbr_008,attended,3,16,2026-01-09 00:00:00,2026-01-15 10:00:00
reg_0047,evt_001,mbr_009,attended,3,28,2026-02-07 00:00:00,2026-02-15 10:00:00
reg_0048,evt_004,mbr_009,attended,3,16,2026-01-05 00:00:00,2026-01-16 10:00:00
reg_0049,evt_007,mbr_009,registered,0,32,2026-01-07 00:00:00,
reg_0050,evt_010,mbr_009,attended,3,20,2026-01-10 00:00:00,2026-01-16 10:00:00
reg_0051,evt_013,mbr_009,registered,0,36,2026-01-06 00:00:00,
reg_0052,evt_015,mbr_009,attended,2,12,2026-01-27 00:00:00,2026-02-01 10:00:00
reg_0053,evt_001,mbr_010,attended,0,48,2026-02-04 00:00:00,2026-02-15 10:00:00
reg_0054,evt_004,mbr_010,registered,0,36,2026-01-07 00:00:00,
reg_0055,evt_006,mbr_010,attended,2,12,2026-01-28 00:00:00,2026-02-02 10:00:00
reg_0056,evt_007,mbr_010,attended,1,24,2026-01-04 00:00:00,2026-01-16 10:00:00
reg_0057,evt_012,mbr_010,attended,3,16,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0058,evt_013,mbr_010,attended,3,28,2026-01-07 00:00:00,2026-01-15 10:00:00
reg_0059,evt_003,mbr_011,attended,3,16,2026-02-26 00:00:00,2026-03-04 10:00:00
reg_0060,evt_009,mbr_011,attended,3,20,2026-01-27 00:00:00,2026-02-02 10:00:00
reg_0061,evt_010,mbr_011,registered,1,60,2026-01-02 00:00:00,
reg_0062,evt_015,mbr_011,attended,3,24,2026-01-25 00:00:00,2026-02-01 10:00:00
reg_0063,evt_003,mbr_012,registered,0,36,2026-02-23 00:00:00,
reg_0064,evt_005,mbr_012,attended,2,12,2025-12-25 00:00:00,2025-12-30 10:00:00
