Request ID,Member #,Booking Ref,Type,Date,Response Time (min),Resolution Date,Notes
sr_0001,mbr_001,,maintenance,2026-02-15T18:45:00.000Z,106,,
sr_0002,mbr_104,bkg_0117,locker_issue,2026-03-04T08:16:00.000Z,85,2026-03-04T09:41:00.000Z,Resolved during shift
sr_0003,mbr_009,bkg_0176,maintenance,2026-02-09T08:46:00.000Z,59,2026-02-09T09:45:00.000Z,Resolved by front desk
sr_0004,mbr_067,,lesson_booking,2026-02-15T12:35:00.000Z,96,2026-02-15T14:11:00.000Z,Pro shop handled directly
sr_0005,mbr_007,,event_rsvp,2026-02-27T10:07:00.000Z,104,2026-02-27T11:51:00.000Z,Forwarded to golf ops manager
sr_0006,mbr_021,bkg_0043,guest_pass,2026-03-01T18:07:00.000Z,97,,
sr_0007,mbr_095,bkg_0051,forecaddie,2026-02-10T17:43:00.000Z,59,2026-02-10T18:42:00.000Z,Completed — member notified via app
sr_0008,mbr_057,bkg_0051,dining_reservation,2026-02-17T10:06:00.000Z,58,2026-02-17T11:04:00.000Z,Pro shop handled directly
sr_0009,mbr_059,,event_rsvp,2026-02-20T17:49:00.000Z,28,2026-02-20T18:17:00.000Z,Completed — member notified via app
sr_0010,mbr_067,bkg_0053,dining_reservation,2026-02-23T16:43:00.000Z,23,,
sr_0011,mbr_109,bkg_0110,locker_issue,2026-02-17T13:11:00.000Z,14,2026-02-17T13:25:00.000Z,Follow-up call scheduled
sr_0012,mbr_025,,lost_found,2026-02-12T08:17:00.000Z,82,,
sr_0013,mbr_109,,range_setup,2026-03-05T18:41:00.000Z,120,,
sr_0014,mbr_106,bkg_0068,locker_issue,2026-02-23T14:52:00.000Z,14,2026-02-23T15:06:00.000Z,Escalated to GM
sr_0015,mbr_022,bkg_0187,range_setup,2026-02-16T10:53:00.000Z,98,2026-02-16T12:31:00.000Z,Chef confirmed dietary accommodations
sr_0016,mbr_078,bkg_0115,lesson_booking,2026-02-14T12:34:00.000Z,63,2026-02-14T13:37:00.000Z,Forwarded to golf ops manager
sr_0017,mbr_006,bkg_0037,lesson_booking,2026-02-19T14:01:00.000Z,62,,
sr_0018,mbr_116,bkg_0023,cart_cooler,2026-02-12T18:07:00.000Z,76,,
sr_0019,mbr_109,,range_setup,2026-02-16T18:57:00.000Z,105,2026-02-16T20:42:00.000Z,Forwarded to golf ops manager
sr_0020,mbr_079,,event_rsvp,2026-03-01T17:28:00.000Z,101,2026-03-01T19:09:00.000Z,Maintenance completed before opening
sr_0021,mbr_048,bkg_0143,forecaddie,2026-02-25T16:27:00.000Z,88,2026-02-25T17:55:00.000Z,Pro shop handled directly
sr_0022,mbr_053,,tee_time_change,2026-02-16T12:12:00.000Z,5,,
sr_0023,mbr_096,bkg_0177,cart_cooler,2026-02-24T09:11:00.000Z,35,,
sr_0024,mbr_111,,lost_found,2026-02-18T18:54:00.000Z,64,2026-02-18T19:58:00.000Z,Resolved same day
sr_0025,mbr_033,,club_repair,2026-03-08T14:53:00.000Z,50,2026-03-08T15:43:00.000Z,Chef confirmed dietary accommodations
sr_0026,mbr_079,bkg_0105,lost_found,2026-03-03T09:28:00.000Z,63,2026-03-03T10:31:00.000Z,Follow-up call scheduled
sr_0027,mbr_023,,lost_found,2026-02-15T16:17:00.000Z,96,2026-02-15T17:53:00.000Z,Escalated to GM
sr_0028,mbr_022,bkg_0199,cart_cooler,2026-02-27T12:08:00.000Z,70,2026-02-27T13:18:00.000Z,Resolved same day
sr_0029,mbr_037,,locker_issue,2026-02-09T07:05:00.000Z,27,2026-02-09T07:32:00.000Z,Forwarded to golf ops manager
sr_0030,mbr_012,bkg_0041,forecaddie,2026-02-26T18:40:00.000Z,84,2026-02-26T20:04:00.000Z,Chef confirmed dietary accommodations
sr_0031,mbr_023,,tee_time_change,2026-02-17T18:27:00.000Z,75,2026-02-17T19:42:00.000Z,Follow-up call scheduled
sr_0032,mbr_023,,lost_found,2026-03-10T11:30:00.000Z,69,,
sr_0033,mbr_095,bkg_0011,tee_time_change,2026-02-26T09:37:00.000Z,47,2026-02-26T10:24:00.000Z,Forwarded to golf ops manager
sr_0034,mbr_019,,range_setup,2026-02-14T17:40:00.000Z,55,2026-02-14T18:35:00.000Z,Resolved during shift
sr_0035,mbr_029,,club_repair,2026-02-27T17:54:00.000Z,81,,
sr_0036,mbr_105,bkg_0120,forecaddie,2026-02-24T11:43:00.000Z,12,2026-02-24T11:55:00.000Z,Forwarded to golf ops manager
sr_0037,mbr_015,bkg_0048,maintenance,2026-02-11T18:25:00.000Z,47,,
sr_0038,mbr_112,,locker_issue,2026-02-11T13:10:00.000Z,17,2026-02-11T13:27:00.000Z,Maintenance completed before opening
sr_0039,mbr_065,bkg_0137,guest_pass,2026-02-24T13:06:00.000Z,73,2026-02-24T14:19:00.000Z,Resolved during shift
sr_0040,mbr_001,,cart_cooler,2026-02-13T07:12:00.000Z,104,,
sr_0041,mbr_109,,tee_time_change,2026-02-24T14:42:00.000Z,107,2026-02-24T16:29:00.000Z,Escalated to GM
sr_0042,mbr_071,,lesson_booking,2026-02-22T08:15:00.000Z,123,,
sr_0043,mbr_109,bkg_0037,guest_pass,2026-03-01T11:13:00.000Z,57,2026-03-01T12:10:00.000Z,Chef confirmed dietary accommodations
sr_0044,mbr_044,,dining_reservation,2026-02-11T18:22:00.000Z,82,2026-02-11T19:44:00.000Z,Resolved same day
sr_0045,mbr_004,bkg_0003,lost_found,2026-03-02T08:54:00.000Z,13,2026-03-02T09:07:00.000Z,Resolved during shift
sr_0046,mbr_040,,range_setup,2026-02-20T10:26:00.000Z,14,2026-02-20T10:40:00.000Z,Resolved same day
sr_0047,mbr_015,,range_setup,2026-02-28T17:20:00.000Z,106,2026-02-28T19:06:00.000Z,Forwarded to golf ops manager
sr_0048,mbr_047,bkg_0037,cart_cooler,2026-03-09T16:43:00.000Z,44,2026-03-09T17:27:00.000Z,Escalated to GM
sr_0049,mbr_057,,cart_cooler,2026-02-16T08:01:00.000Z,52,2026-02-16T08:53:00.000Z,Assigned to maintenance crew
sr_0050,mbr_002,bkg_0020,forecaddie,2026-02-22T14:38:00.000Z,71,2026-02-22T15:49:00.000Z,Forwarded to golf ops manager
sr_0051,mbr_081,bkg_0035,club_repair,2026-02-11T13:41:00.000Z,20,2026-02-11T14:01:00.000Z,Assigned to maintenance crew
sr_0052,mbr_019,,locker_issue,2026-02-13T17:54:00.000Z,60,2026-02-13T18:54:00.000Z,Resolved by front desk
sr_0053,mbr_011,,lost_found,2026-02-23T07:53:00.000Z,47,2026-02-23T08:40:00.000Z,Resolved same day
sr_0054,mbr_039,bkg_0012,event_rsvp,2026-03-08T12:36:00.000Z,102,2026-03-08T14:18:00.000Z,Pro shop handled directly
sr_0055,mbr_044,,locker_issue,2026-02-15T10:13:00.000Z,72,2026-02-15T11:25:00.000Z,Assigned to maintenance crew
sr_0056,mbr_033,bkg_0021,club_repair,2026-03-07T12:05:00.000Z,104,2026-03-07T13:49:00.000Z,Resolved same day
sr_0057,mbr_019,,maintenance,2026-02-11T13:20:00.000Z,74,2026-02-11T14:34:00.000Z,Follow-up call scheduled
sr_0058,mbr_082,bkg_0162,locker_issue,2026-02-26T15:26:00.000Z,59,2026-02-26T16:25:00.000Z,Follow-up call scheduled
sr_0059,mbr_059,bkg_0155,forecaddie,2026-02-13T13:15:00.000Z,14,2026-02-13T13:29:00.000Z,Resolved during shift
sr_0060,mbr_029,bkg_0171,range_setup,2026-02-16T14:08:00.000Z,79,,
