Chk#,Sales Area,Member #,Open Time,Close Time,First Fire,Last Fulfilled,Net Amount,Tax,Gratuity,Comp,Discount,Void,Total Due,Settlement Method
chk_00120,outlet_main_dining,mbr_016,2026-02-25 09:43:00,2026-02-25 10:47:00,2026-02-25 09:56:00,2026-02-25 10:40:00,119,10.12,19.04,0,0,0,148.16,credit_card
chk_00208,outlet_grill,mbr_027,2026-03-01 14:41:00,2026-03-01 15:43:00,2026-03-01 14:53:00,2026-03-01 15:36:00,112,9.52,17.92,0,0,0,139.44,credit_card
chk_00248,outlet_bar_lounge,mbr_031,2026-02-24 15:44:00,2026-02-24 16:49:00,2026-02-24 15:57:00,2026-02-24 16:42:00,18,1.53,2.88,0,13,0,9.41,credit_card
chk_00250,outlet_grill,mbr_032,2026-01-02 10:22:00,2026-01-02 11:05:00,2026-01-02 10:35:00,2026-01-02 10:51:00,122,10.37,28.06,0,7,0,153.43,member_charge
chk_00278,outlet_grill,mbr_035,2025-12-20 12:54:00,2025-12-20 13:47:00,2025-12-20 13:08:00,2025-12-20 13:42:00,148,12.58,26.64,0,0,0,187.22,cash
chk_00328,outlet_grill,mbr_042,2026-02-19 10:48:00,2026-02-19 11:57:00,2026-02-19 11:01:00,2026-02-19 11:49:00,132,11.22,22.44,0,14,0,151.66,credit_card
chk_00333,outlet_halfway_house,mbr_042,2026-01-06 09:20:00,2026-01-06 10:00:00,2026-01-06 09:32:00,2026-01-06 09:46:00,115,9.78,26.45,0,0,0,151.23,member_charge
chk_00526,outlet_grill,mbr_067,2025-12-21 12:53:00,2025-12-21 13:45:00,2025-12-21 13:07:00,2025-12-21 13:40:00,145,12.33,26.1,0,0,0,183.43,cash
chk_00528,outlet_main_dining,mbr_068,2026-01-03 09:21:00,2026-01-03 10:03:00,2026-01-03 09:34:00,2026-01-03 09:49:00,120,10.2,27.6,0,0,0,157.8,member_charge
chk_00170,outlet_bar_lounge,mbr_022,2026-02-16 16:50:00,2026-02-16 18:01:00,2026-02-16 16:57:00,2026-02-16 17:52:00,34,2.89,5.78,0,0,0,42.67,credit_card
chk_00198,outlet_grill,mbr_026,2026-03-05 13:37:00,2026-03-05 14:35:00,2026-03-05 13:48:00,2026-03-05 14:29:00,104,8.84,15.6,0,0,0,128.44,credit_card
chk_00561,outlet_bar_lounge,mbr_073,2026-02-07 18:56:00,2026-02-07 20:14:00,2026-02-07 19:11:00,2026-02-07 20:04:00,52,4.42,9.88,0,0,0,66.3,cash
chk_00726,outlet_grill,mbr_098,2025-12-27 11:48:00,2025-12-27 12:35:00,2025-12-27 12:01:00,2025-12-27 12:20:00,134,11.39,32.16,0,8,0,169.55,credit_card
chk_00769,outlet_bar_lounge,mbr_105,2026-02-08 17:55:00,2026-02-08 19:12:00,2026-02-08 18:10:00,2026-02-08 19:02:00,152,12.92,27.36,0,0,0,192.28,cash
chk_00806,outlet_grill,mbr_110,2025-12-26 11:49:00,2025-12-26 13:00:00,2025-12-26 12:03:00,2025-12-26 12:52:00,136,11.56,23.12,0,14,0,156.68,credit_card
chk_01037,outlet_grill,mbr_133,2026-03-08 13:57:00,2026-03-08 15:16:00,2026-03-08 14:12:00,2026-03-08 15:06:00,157,13.35,29.83,0,0,0,200.18,cash
chk_01088,outlet_bar_lounge,mbr_138,2026-02-05 18:58:00,2026-02-05 20:17:00,2026-02-05 19:13:00,2026-02-05 20:07:00,55,4.68,10.45,0,0,0,70.13,cash
chk_01128,outlet_grill,mbr_142,2025-12-27 11:48:00,2025-12-27 12:35:00,2025-12-27 12:01:00,2025-12-27 12:20:00,133,11.31,22.61,0,14,0,152.92,credit_card
chk_01328,outlet_grill,mbr_160,2025-12-17 12:34:00,2025-12-17 13:29:00,2025-12-17 12:49:00,2025-12-17 13:23:00,154,13.09,38.5,0,0,0,205.59,credit_card
chk_01443,outlet_grill,mbr_185,2026-03-08 13:36:00,2026-03-08 14:33:00,2026-03-08 13:51:00,2026-03-08 14:27:00,158,13.43,23.7,0,0,0,195.13,credit_card
chk_01513,outlet_grill,mbr_201,2025-12-31 10:24:00,2025-12-31 11:09:00,2025-12-31 10:37:00,2025-12-31 10:54:00,127,10.8,30.48,0,8,0,160.28,member_charge
chk_01529,outlet_bar_lounge,mbr_204,2026-02-25 14:43:00,2026-02-25 15:47:00,2026-02-25 14:56:00,2026-02-25 15:40:00,179,15.22,28.64,0,0,0,222.86,credit_card
chk_01691,outlet_grill,mbr_236,2025-12-19 12:55:00,2025-12-19 13:49:00,2025-12-19 13:10:00,2025-12-19 13:44:00,150,12.75,37.5,0,0,0,200.25,cash
chk_01726,outlet_grill,mbr_241,2025-12-27 11:27:00,2025-12-27 12:15:00,2025-12-27 11:41:00,2025-12-27 12:00:00,134,11.39,32.16,0,8,0,169.55,member_charge
chk_00517,outlet_bar_lounge,mbr_066,2026-02-03 18:59:00,2026-02-03 20:19:00,2026-02-03 19:14:00,2026-02-03 20:09:00,163,13.86,30.97,0,0,0,207.83,cash
chk_00721,outlet_main_dining,mbr_097,2026-03-07 08:36:00,2026-03-07 09:33:00,2026-03-07 08:47:00,2026-03-07 09:27:00,99,8.42,14.85,0,0,0,122.27,credit_card
chk_00758,outlet_grill,mbr_103,2026-03-02 14:40:00,2026-03-02 15:41:00,2026-03-02 14:52:00,2026-03-02 15:34:00,169,14.37,25.35,0,0,0,208.72,credit_card
chk_00807,outlet_bar_lounge,mbr_110,2026-02-03 18:59:00,2026-02-03 20:19:00,2026-02-03 19:07:00,2026-02-03 20:09:00,59,5.02,11.21,0,0,0,75.23,cash
chk_00840,outlet_bar_lounge,mbr_115,2026-02-03 18:21:00,2026-02-03 19:42:00,2026-02-03 18:30:00,2026-02-03 19:32:00,60,5.1,11.4,0,0,0,76.5,member_charge
chk_00884,outlet_grill,mbr_119,2026-03-01 14:03:00,2026-03-01 15:05:00,2026-03-01 14:08:00,2026-03-01 14:58:00,172,14.62,34.4,0,0,8,213.02,cash
chk_00964,outlet_grill,mbr_126,2025-12-20 12:32:00,2025-12-20 13:24:00,2025-12-20 12:42:00,2025-12-20 13:19:00,147,12.5,36.75,0,0,0,196.25,member_charge
chk_00965,outlet_grill,mbr_126,2026-02-28 14:03:00,2026-02-28 15:05:00,2026-02-28 14:08:00,2026-02-28 14:58:00,173,14.71,34.6,0,0,8,214.31,cash
chk_01009,outlet_bar_lounge,mbr_130,2026-02-15 16:51:00,2026-02-15 18:03:00,2026-02-15 16:58:00,2026-02-15 17:54:00,37,3.15,6.66,0,0,0,46.81,credit_card
chk_01010,outlet_bar_lounge,mbr_130,2026-02-01 18:22:00,2026-02-01 19:05:00,2026-02-01 18:31:00,2026-02-01 18:55:00,63,5.36,14.49,0,0,0,82.85,member_charge
chk_01048,outlet_grill,mbr_134,2026-03-04 13:38:00,2026-03-04 14:37:00,2026-03-04 13:50:00,2026-03-04 14:31:00,106,9.01,15.9,0,0,0,130.91,credit_card
chk_01243,outlet_bar_lounge,mbr_152,2026-02-26 14:05:00,2026-02-26 15:09:00,2026-02-26 14:10:00,2026-02-26 15:02:00,178,15.13,35.6,0,0,0,228.73,cash
chk_00412,outlet_grill,mbr_052,2026-01-27 14:04:00,2026-01-27 15:30:00,2026-01-27 14:09:00,2026-01-27 15:19:00,177,15.05,35.4,0,0,0,227.45,cash
chk_01358,outlet_bar_lounge,mbr_166,2026-02-20 15:47:00,2026-02-20 16:55:00,2026-02-20 15:53:00,2026-02-20 16:47:00,26,2.21,4.42,0,0,0,32.63,credit_card
chk_01370,outlet_bar_lounge,mbr_169,2026-02-24 15:44:00,2026-02-24 16:49:00,2026-02-24 15:50:00,2026-02-24 16:42:00,18,1.53,2.88,0,0,0,22.41,credit_card
chk_01399,outlet_grill,mbr_176,2025-12-20 12:32:00,2025-12-20 13:25:00,2025-12-20 12:42:00,2025-12-20 13:20:00,88,7.48,22,0,0,0,117.48,member_charge
