Reservation ID,Course,Date,Tee Time,Players,Guest Flag,Transportation,Caddie,Holes,Status,Check-In Time,Round Start,Round End,Duration (min)
bkg_0196,course_main,2026-03-21,12:00,2,0,push_cart,0,18,confirmed,,,,
bkg_0835,course_main,2026-03-16,15:20,3,1,cart,0,18,confirmed,,,,
bkg_0003,course_main,2025-12-23,09:50,1,0,push_cart,0,9,cancelled,,,,
bkg_2007,course_main,2026-03-24,14:10,2,0,cart,0,18,confirmed,,,,
bkg_1943,course_main,2026-03-12,09:30,3,1,walk,0,18,confirmed,,,,
bkg_3378,course_main,2026-03-17,15:20,3,1,cart,0,18,confirmed,,,,
bkg_1450,course_main,2026-03-18,15:20,3,1,cart,0,18,confirmed,,,,
bkg_1160,course_main,2026-03-23,13:40,4,0,push_cart,0,9,confirmed,,,,
bkg_0009,course_main,2025-12-19,10:50,1,0,push_cart,0,9,cancelled,,,,
bkg_0052,course_main,2026-03-12,09:50,1,1,push_cart,0,9,confirmed,,,,
bkg_3501,course_main,2026-03-16,13:10,2,0,cart,0,18,confirmed,,,,
bkg_2961,course_main,2026-03-12,06:30,3,1,walk,0,18,confirmed,,,,
bkg_1420,course_main,2026-03-19,12:40,2,0,push_cart,0,9,confirmed,,,,
bkg_2599,course_main,2026-03-21,13:40,2,0,cart,0,18,confirmed,,,,
bkg_0446,course_main,2026-03-19,06:10,3,0,walk,0,18,confirmed,,,,
bkg_0024,course_main,2026-02-14,13:50,2,0,push_cart,0,9,cancelled,,,,
bkg_0030,course_main,2026-02-09,10:50,1,0,push_cart,0,9,cancelled,,,,
bkg_0035,course_main,2026-02-14,13:50,2,0,cart,0,18,cancelled,,,,
bkg_0041,course_main,2026-02-09,14:50,2,0,cart,0,18,cancelled,,,,
bkg_0056,course_main,2026-02-14,13:50,2,0,cart,0,18,cancelled,,,,
bkg_0063,course_main,2025-12-23,09:50,1,0,push_cart,0,9,cancelled,,,,
bkg_0069,course_main,2025-12-19,10:50,1,0,push_cart,0,9,cancelled,,,,
bkg_0073,course_main,2026-02-09,14:10,2,0,cart,0,18,cancelled,,,,
bkg_0084,course_main,2026-02-14,09:50,1,0,push_cart,0,9,cancelled,,,,
bkg_0090,course_main,2025-12-18,10:50,1,0,push_cart,0,9,cancelled,,,,
bkg_0095,course_main,2026-02-13,13:50,2,0,cart,0,18,cancelled,,,,
bkg_0101,course_main,2026-02-09,14:50,2,0,cart,0,9,cancelled,,,,
bkg_0116,course_main,2026-02-13,13:50,2,0,cart,0,18,cancelled,,,,
bkg_0123,course_main,2025-12-23,09:50,1,0,push_cart,0,9,cancelled,,,,
